Image,Label
carcinoma183,0
carcinoma184,0
carcinoma185,0
carcinoma186,0
carcinoma187,0
carcinoma188,0
carcinoma189,0
carcinoma19,0
carcinoma190,0
carcinoma191,0
carcinoma192,0
carcinoma194,0
carcinoma195,0
carcinoma196,0
carcinoma197,0
carcinoma198,0
carcinoma199,0
carcinoma2,0
carcinoma20,0
carcinoma200,0
carcinoma201,0
carcinoma202,0
carcinoma203,0
carcinoma204,0
carcinoma205,0
carcinoma206,0
carcinoma207,0
carcinoma208,0
carcinoma209,0
carcinoma21,0
carcinoma210,0
carcinoma211,0
carcinoma212,0
carcinoma213,0
carcinoma214,0
carcinoma215,0
carcinoma216,0
carcinoma217,0
carcinoma218,0
carcinoma219,0
carcinoma22,0
carcinoma220,0
carcinoma221,0
carcinoma222,0
carcinoma223,0
carcinoma224,0
carcinoma225,0
carcinoma226,0
carcinoma227,0
carcinoma228,0
carcinoma229,0
carcinoma23,0
carcinoma230,0
carcinoma231,0
carcinoma232,0
carcinoma233,0
carcinoma234,0
carcinoma235,0
carcinoma236,0
carcinoma237,0
carcinoma238,0
carcinoma239,0
carcinoma24,0
carcinoma240,0
carcinoma241,0
carcinoma243,0
carcinoma244,0
carcinoma245,0
carcinoma246,0
carcinoma247,0
carcinoma248,0
carcinoma249,0
carcinoma25,0
carcinoma250,0
carcinoma251,0
carcinoma252,0
carcinoma253,0
carcinoma255,0
carcinoma256,0
carcinoma257,0
carcinoma258,0
carcinoma259,0
carcinoma26,0
carcinoma260,0
carcinoma261,0
carcinoma262,0
carcinoma263,0
carcinoma264,0
carcinoma265,0
carcinoma266,0
carcinoma267,0
carcinoma268,0
carcinoma269,0
carcinoma27,0
carcinoma270,0
carcinoma271,0
carcinoma272,0
carcinoma273,0
carcinoma274,0
carcinoma275,0
carcinoma276,0
carcinoma277,0
carcinoma278,0
carcinoma279,0
carcinoma28,0
carcinoma280,0
carcinoma281,0
carcinoma282,0
carcinoma283,0
carcinoma284,0
carcinoma285,0
carcinoma286,0
carcinoma287,0
carcinoma288,0
carcinoma289,0
carcinoma29,0
carcinoma290,0
carcinoma291,0
carcinoma292,0
carcinoma293,0
carcinoma294,0
carcinoma295,0
carcinoma296,0
carcinoma297,0
carcinoma298,0
carcinoma299,0
carcinoma30,0
carcinoma300,0
carcinoma301,0
carcinoma302,0
carcinoma303,0
carcinoma304,0
carcinoma305,0
carcinoma306,0
carcinoma307,0
carcinoma308,0
carcinoma309,0
carcinoma31,0
carcinoma310,0
carcinoma311,0
carcinoma312,0
carcinoma313,0
carcinoma314,0
carcinoma315,0
carcinoma316,0
carcinoma317,0
carcinoma318,0
carcinoma319,0
carcinoma32,0
carcinoma320,0
carcinoma321,0
carcinoma322,0
carcinoma323,0
carcinoma324,0
carcinoma325,0
carcinoma326,0
carcinoma327,0
carcinoma328,0
carcinoma329,0
carcinoma33,0
carcinoma330,0
carcinoma331,0
carcinoma332,0
carcinoma333,0
carcinoma334,0
carcinoma335,0
carcinoma336,0
carcinoma337,0
carcinoma338,0
carcinoma339,0
carcinoma34,0
carcinoma340,0
carcinoma341,0
carcinoma342,0
carcinoma343,0
carcinoma344,0
carcinoma345,0
carcinoma346,0
carcinoma347,0
carcinoma348,0
carcinoma349,0
carcinoma35,0
carcinoma350,0
carcinoma351,0
carcinoma352,0
carcinoma353,0
carcinoma354,0
carcinoma355,0
carcinoma356,0
carcinoma357,0
carcinoma358,0
carcinoma359,0
carcinoma36,0
carcinoma360,0
carcinoma361,0
carcinoma362,0
carcinoma363,0
carcinoma364,0
carcinoma365,0
carcinoma366,0
carcinoma367,0
carcinoma368,0
carcinoma369,0
carcinoma37,0
carcinoma370,0
carcinoma371,0
carcinoma372,0
carcinoma373,0
carcinoma374,0
carcinoma375,0
carcinoma376,0
carcinoma377,0
carcinoma378,0
carcinoma379,0
carcinoma38,0
carcinoma380,0
carcinoma381,0
carcinoma382,0
carcinoma383,0
carcinoma384,0
carcinoma385,0
carcinoma386,0
carcinoma387,0
carcinoma388,0
carcinoma389,0
carcinoma39,0
carcinoma390,0
carcinoma391,0
carcinoma392,0
carcinoma393,0
carcinoma394,0
carcinoma395,0
carcinoma396,0
carcinoma397,0
carcinoma398,0
carcinoma399,0
carcinoma4,0
carcinoma40,0
carcinoma41,0
carcinoma42,0
carcinoma43,0
carcinoma44,0
carcinoma45,0
carcinoma46,0
carcinoma47,0
carcinoma48,0
carcinoma49,0
carcinoma5,0
carcinoma50,0
carcinoma51,0
carcinoma52,0
carcinoma53,0
carcinoma54,0
carcinoma55,0
carcinoma56,0
carcinoma57,0
carcinoma58,0
carcinoma59,0
carcinoma6,0
carcinoma60,0
carcinoma61,0
carcinoma62,0
carcinoma63,0
carcinoma64,0
carcinoma65,0
carcinoma66,0
carcinoma67,0
carcinoma68,0
carcinoma69,0
carcinoma7,0
carcinoma70,0
carcinoma71,0
carcinoma72,0
carcinoma73,0
carcinoma74,0
carcinoma75,0
carcinoma76,0
carcinoma77,0
carcinoma78,0
carcinoma79,0
carcinoma8,0
carcinoma80,0
carcinoma81,0
carcinoma82,0
carcinoma83,0
carcinoma84,0
carcinoma85,0
carcinoma86,0
carcinoma87,0
carcinoma88,0
carcinoma89,0
carcinoma9,0
carcinoma90,0
carcinoma91,0
carcinoma92,0
carcinoma93,0
carcinoma94,0
carcinoma95,0
carcinoma96,0
carcinoma97,0
carcinoma98,0
carcinoma99,0
